ID	Mean_Control	Mean_Patient	Mean_Change	LogFC	Pvalue	FDR
405	8.0544	8.2053	0.1509	0.1509	0.12	0.34
406	6.5418	6.8447	0.3029	0.3029	0.072	0.27
407	6.3629	6.3222	-0.0407	-0.0407	0.32	0.55
408	7.0981	7.0954	-0.0028	-0.0028	0.97	0.99
409	7.0182	7.0649	0.0467	0.0467	0.38	0.6
410	7.0542	7.0016	-0.0526	-0.0526	0.27	0.51
411	6.88	6.9511	0.0711	0.0711	0.16	0.39
412	7.0938	7.1502	0.0563	0.0563	0.56	0.75
414	6.8346	6.7525	-0.0822	-0.0822	0.073	0.27
415	6.4512	6.4327	-0.0185	-0.0185	0.65	0.81
416	6.1925	6.2163	0.0238	0.0238	0.44	0.66
417	7.8622	7.6714	-0.1908	-0.1908	0.15	0.38
419	8.4091	8.5303	0.1212	0.1212	0.44	0.65
420	5.9773	6.074	0.0966	0.0966	0.011	0.19
421	7.3588	7.2675	-0.0913	-0.0913	0.073	0.27
427	8.8735	8.8721	-0.0014	-0.0014	0.99	1
429	6.468	6.4286	-0.0394	-0.0394	0.3	0.53
430	6.6981	6.7129	0.0149	0.0149	0.75	0.87
432	7.1349	7.0253	-0.1097	-0.1097	0.048	0.24
433	6.8537	6.7854	-0.0683	-0.0683	0.1	0.32
434	6.6181	6.6247	0.0066	0.0066	0.83	0.91
435	7.2122	7.0962	-0.116	-0.116	0.0021	0.18
439	7.9154	8.0192	0.1038	0.1038	0.26	0.5
440	6.6122	7.0443	0.4322	0.4322	0.1	0.32
443	6.7462	6.7922	0.046	0.046	0.79	0.89
444	7.5445	7.6203	0.0759	0.0759	0.48	0.69
445	8.5419	8.4188	-0.1231	-0.1231	0.46	0.67
460	6.8962	6.8025	-0.0937	-0.0937	0.014	0.19
462	6.288	6.2644	-0.0236	-0.0236	0.51	0.71
463	7.0595	7.0725	0.0129	0.0129	0.88	0.94
466	7.605	7.8055	0.2005	0.2005	0.18	0.41
467	6.7824	6.8424	0.06	0.06	0.69	0.83
468	8.2808	8.3444	0.0637	0.0637	0.58	0.76
471	7.7469	7.9341	0.1872	0.1872	0.2	0.44
472	6.7105	6.8462	0.1357	0.1357	0.16	0.38
473	7.9974	7.977	-0.0205	-0.0205	0.75	0.87
474	6.615	6.739	0.1241	0.1241	0.066	0.26
475	7.7478	7.7246	-0.0232	-0.0232	0.72	0.85
476	7.9543	8.3614	0.407	0.407	0.17	0.4
477	10.141	10.0403	-0.1007	-0.1007	0.57	0.76
478	6.7971	6.7817	-0.0154	-0.0154	0.64	0.8
479	6.248	6.2513	0.0033	0.0033	0.91	0.96
480	6.4977	6.4615	-0.0362	-0.0362	0.45	0.66
481	9.9314	10.1793	0.2479	0.2479	0.094	0.3
482	7.3039	7.1517	-0.1522	-0.1522	0.017	0.2
483	6.9805	7.0995	0.1189	0.1189	0.12	0.34
486	7.0746	6.9726	-0.102	-0.102	0.086	0.29
487	12.0419	11.3112	-0.7307	-0.7307	0.11	0.33
488	11.9133	11.5379	-0.3754	-0.3754	0.041	0.23
489	7.3637	7.3011	-0.0626	-0.0626	0.24	0.48
490	7.7311	8.0273	0.2962	0.2962	0.085	0.29
491	7.4664	7.3291	-0.1373	-0.1373	0.3	0.53
492	6.7796	6.6971	-0.0825	-0.0825	0.034	0.22
493	7.7591	7.8423	0.0832	0.0832	0.45	0.67
495	6.8691	6.7948	-0.0743	-0.0743	0.04	0.23
496	6.8376	6.7498	-0.0878	-0.0878	0.011	0.19
498	10.5583	10.3441	-0.2143	-0.2143	0.16	0.39
501	7.2293	7.3539	0.1246	0.1246	0.15	0.38
506	11.7369	11.4199	-0.317	-0.317	0.023	0.2
509	9.6166	9.561	-0.0557	-0.0557	0.64	0.8
